district,year,season,crop,area_hectares,yield_kg_per_ha,soil_type,ph,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,organic_carbon_percent,moisture_percent,avg_temp,max_temp,min_temp,rainfall,humidity,wind_speed,air_pressure,annual_recharge_mcm,annual_extraction_mcm,extraction_percent,future_groundwater_availability_mcm,water_stress_index,temp_range,rainfall_category,water_stress_category,fertility_score,climate_stress_score
Amritsar,2016,Rabi,Wheat,57877.5,6005.2,Alluvial,6.6,150.5,44.1,229.7,0.31,27.7,19.1,26.4,14.3,85.7,54.3,3.9,1014.6,1099.6,973.4,88.5,126.2,0.89,12,Low,High,109.5,10.66
Amritsar,2016,Rabi,Wheat,51689.4,6182.5,Alluvial,6.6,150.3,43.7,235.3,0.31,27.1,18.8,28,13,85.1,53,4,1014.5,1099.6,973.4,88.5,126.2,0.86,15,Low,High,109.2,10.84
Amritsar,2016,Rabi,Wheat,53593.5,5130.7,Alluvial,6.6,149.5,44.1,231.3,0.31,27.3,18.3,27.9,13.3,94.1,54.4,4.1,1014.3,1099.6,973.4,88.5,126.2,0.88,14.6,Low,High,110,10.93
Amritsar,2016,Rabi,Wheat,56165.8,5155.8,Alluvial,6.6,150.5,43.4,229.2,0.33,27.2,18.4,27.7,12.8,82.1,54.1,4,1014.7,1099.6,973.4,88.5,126.2,0.9,14.8,Low,High,108.9,10.88
Amritsar,2016,Rabi,Wheat,56332.8,5220.9,Alluvial,6.6,149.8,45.3,236.2,0.3,27.6,18.7,27.4,13.5,83,55.1,4.3,1015.2,1099.6,973.4,88.5,126.2,0.89,13.9,Low,High,108.5,10.85
Amritsar,2016,Zaid,Fodder,9454.7,27751.1,Alluvial,7.92,97,27.3,149.3,0.48,20.4,35.9,42.1,29.1,15.5,29.6,11.6,993.5,1099.6,973.4,88.5,126.2,0.89,13,Low,High,78.8,8.13
Amritsar,2016,Zaid,Fodder,10445.9,28318.1,Alluvial,7.92,98,27,149,0.48,20.2,36.3,42.1,29.7,17.5,28.7,11.5,992.9,1099.6,973.4,88.5,126.2,0.88,12.4,Low,High,78.5,8.09
Amritsar,2016,Zaid,Fodder,9454.3,28364.7,Alluvial,7.92,98.5,27.6,151.9,0.47,20.8,35.5,41.6,29.1,5.3,29.7,11.8,993.9,1099.6,973.4,88.5,126.2,0.88,12.5,Low,High,78.4,8.18
Amritsar,2016,Zaid,Fodder,6398.6,27190,Alluvial,7.92,97.4,28,150.2,0.49,20.4,36.8,41.5,29.2,41.2,30.3,11.2,993.7,1099.6,973.4,88.5,126.2,0.88,12.3,Low,High,79.7,8.03
Amritsar,2016,Zaid,Fodder,8648.9,27297.2,Alluvial,7.92,98.5,27.6,148.6,0.49,20.7,36.3,41.3,29.7,8,28.8,11.8,993.4,1099.6,973.4,88.5,126.2,0.89,11.6,Low,High,78.6,8.07
Amritsar,2016,Zaid,Fodder,11157.1,27974.4,Alluvial,7.92,96.4,27.6,146.4,0.48,20.6,35.4,42.8,29.2,36.5,28.6,11.5,993.9,1099.6,973.4,88.5,126.2,0.91,13.7,Low,High,79.4,8.12
Amritsar,2016,Zaid,Fodder,11215.3,27087.1,Alluvial,7.92,96.9,28.4,150.9,0.47,20.3,36.4,42,29,23.8,29.2,11.6,992.9,1099.6,973.4,88.5,126.2,0.9,13,Low,High,79,8.08
Amritsar,2016,Zaid,Fodder,10125.7,27714,Alluvial,7.92,97.8,26.9,150,0.48,20.4,37.1,42.6,28.4,23.2,30,11.6,993.8,1099.6,973.4,88.5,126.2,0.9,14.2,Low,High,78.6,8.07
Amritsar,2016,Zaid,Fodder,7767.3,26947.9,Alluvial,7.92,97.1,27.5,151.2,0.49,20.5,35.3,42.2,29.7,18.8,30.2,11.8,993.2,1099.6,973.4,88.5,126.2,0.88,12.5,Low,High,80,8.13
Amritsar,2016,Zaid,Fodder,9344,27623.8,Alluvial,7.92,97.2,27.8,151.6,0.49,20.7,36.6,42.8,28.2,22.5,29.4,11.6,993,1099.6,973.4,88.5,126.2,0.88,14.7,Low,High,78.8,8.22
Amritsar,2016,Zaid,Vegetables,15654.2,9486.4,Alluvial,7.92,97,27.3,149.3,0.48,20.4,35.9,42.1,29.1,15.5,29.6,11.6,993.5,1099.6,973.4,88.5,126.2,0.89,13,Low,High,78.8,8.13
Amritsar,2016,Zaid,Vegetables,16650.1,10591.3,Alluvial,7.92,95.8,27.4,148,0.48,20,36.6,42.1,29.1,-2.2,29.4,11.5,993.5,1099.6,973.4,88.5,126.2,0.89,13.1,Low,High,78.5,8.24
Amritsar,2016,Zaid,Vegetables,16956.6,9143.5,Alluvial,7.92,97.7,27.5,149,0.49,20.5,36.5,42,29,-3.6,30.2,11.5,993.6,1099.6,973.4,88.5,126.2,0.9,13,Low,High,78.1,8.06
Amritsar,2016,Zaid,Vegetables,16260.6,9866.1,Alluvial,7.92,95.2,27.4,148.4,0.49,20.8,36.2,43,29,11,30.5,11.8,993.2,1099.6,973.4,88.5,126.2,0.89,14,Low,High,79.3,8.13
Amritsar,2016,Zaid,Vegetables,16489,9407.4,Alluvial,7.92,96.8,27.1,151.7,0.49,20.6,35.9,41,29.4,1.1,30.1,11.6,992.8,1099.6,973.4,88.5,126.2,0.89,11.6,Low,High,79.3,8.29
Amritsar,2016,Zaid,Vegetables,16309.3,8994,Alluvial,7.92,98.5,27.1,148.5,0.49,20.4,36.5,42.7,28.5,10.6,29,11.8,993.5,1099.6,973.4,88.5,126.2,0.89,14.1,Low,High,77.3,8.13
Amritsar,2016,Zaid,Vegetables,15966,9032.6,Alluvial,7.92,98.3,27,150.2,0.48,20.3,36.1,41.7,29.1,25.6,28.5,11.6,993.7,1099.6,973.4,88.5,126.2,0.89,12.5,Low,High,79.8,8.08
Amritsar,2016,Zaid,Vegetables,16189,8347.8,Alluvial,7.92,98.6,27.5,146.9,0.49,21,36,42.7,28.6,-11.7,30.4,11.7,994.3,1099.6,973.4,88.5,126.2,0.87,14.1,Low,High,78.8,8.16
Amritsar,2016,Zaid,Vegetables,14672.2,10111.4,Alluvial,7.92,97.3,27.8,151.9,0.48,20.6,35.6,42.2,28.9,9.5,29.9,11.6,993.9,1099.6,973.4,88.5,126.2,0.88,13.3,Low,High,78.2,8.17
Amritsar,2016,Zaid,Vegetables,16445.2,9381.7,Alluvial,7.92,96.4,27.1,152.4,0.48,20.9,35.9,41.9,29.1,30,29.7,11.4,994.1,1099.6,973.4,88.5,126.2,0.88,12.7,Low,High,78.6,8.08
Amritsar,2017,Kharif,Cotton,42533.4,1681.3,Alluvial,7.23,103.3,44.5,142.3,0.48,17.9,30.7,36.5,24.2,523,70.5,8.8,1003.5,1385.6,1080.2,78,305.4,0.78,12.3,High,Moderate,82.8,10.92
Amritsar,2017,Kharif,Cotton,44010.6,2159.2,Alluvial,7.23,102.8,44.1,139.8,0.49,17.5,30.5,36.6,23.6,513.6,70.4,8.8,1003.6,1385.6,1080.2,78,305.4,0.78,13,High,Moderate,81.4,11
Amritsar,2017,Kharif,Cotton,41196.7,2591.6,Alluvial,7.23,104.7,44.3,142.1,0.49,17.8,30.3,36.4,25.1,538.2,68.8,8.7,1003.4,1385.6,1080.2,78,305.4,0.76,11.3,High,Moderate,82.5,11.01
Amritsar,2017,Kharif,Cotton,42401.7,1892,Alluvial,7.23,103.9,44.2,142.6,0.49,18.4,30.6,36.4,23.4,544.2,71.3,8.9,1003.5,1385.6,1080.2,78,305.4,0.78,13,High,Moderate,82.9,10.81
Amritsar,2017,Kharif,Cotton,45715.2,727.5,Alluvial,7.23,105.8,44.4,147.5,0.49,17.8,30.2,36,24.3,516.2,70.1,8.9,1003,1385.6,1080.2,78,305.4,0.77,11.6,High,Moderate,83.7,10.81
Amritsar,2017,Kharif,Cotton,45622.7,1221.3,Alluvial,7.23,104,45.2,142,0.47,17.9,30.6,36.7,24.1,497.1,70.6,8.7,1003.5,1385.6,1080.2,78,305.4,0.76,12.6,High,Moderate,82.8,10.85
Amritsar,2017,Kharif,Cotton,42149.3,2373.5,Alluvial,7.23,104,44.1,143.2,0.49,17.7,30.7,37.1,24.1,541.5,69.9,8.9,1003.7,1385.6,1080.2,78,305.4,0.77,13,High,Moderate,83.2,10.85
Amritsar,2017,Kharif,Cotton,45279.3,778.1,Alluvial,7.23,102.2,44.4,141.5,0.48,17.8,30.7,37,24.2,524.1,71.2,8.6,1003.1,1385.6,1080.2,78,305.4,0.77,12.8,High,Moderate,82.8,10.96
Amritsar,2017,Kharif,Cotton,40139.1,1862,Alluvial,7.23,101.4,44,142.3,0.49,18.2,30.7,37.3,24.8,536.4,70.6,8.8,1004,1385.6,1080.2,78,305.4,0.78,12.5,High,Moderate,84.2,10.83
Amritsar,2017,Kharif,Cotton,40558.7,1775.9,Alluvial,7.23,104.4,43.2,142,0.47,18.1,31,35.8,23.9,527.3,71,8.8,1003.4,1385.6,1080.2,78,305.4,0.78,11.9,High,Moderate,82.1,10.97
Amritsar,2017,Kharif,Maize,27277.8,2936.8,Alluvial,7.23,103.3,44.5,142.3,0.48,17.9,30.7,36.5,24.2,523,70.5,8.8,1003.5,1385.6,1080.2,78,305.4,0.78,12.3,High,Moderate,82.8,10.92
Amritsar,2017,Kharif,Maize,29874.8,2627.5,Alluvial,7.23,104.1,45,143.4,0.47,17.5,30.9,36.4,23.9,504.2,68.8,8.8,1003.7,1385.6,1080.2,78,305.4,0.78,12.5,High,Moderate,82.8,10.92
Amritsar,2017,Kharif,Maize,31866.3,3202.3,Alluvial,7.23,102.5,44.6,146.7,0.47,18.1,30.7,36.3,24.7,529,69.3,8.8,1003.4,1385.6,1080.2,78,305.4,0.78,11.6,High,Moderate,83.2,10.87
Amritsar,2017,Kharif,Maize,26677.8,3463.8,Alluvial,7.23,102.4,44.7,143.2,0.47,18.2,30.9,36.3,24.3,527.4,71.5,8.7,1003.9,1385.6,1080.2,78,305.4,0.79,12,High,Moderate,83.1,11.03
Amritsar,2017,Kharif,Maize,29035.2,3719.6,Alluvial,7.23,105.4,45.1,141.5,0.47,17.9,30.4,36.4,23.5,502.2,70.9,9.1,1002.9,1385.6,1080.2,78,305.4,0.77,12.8,High,Moderate,81.7,10.99
Amritsar,2017,Kharif,Maize,26610.7,2797.9,Alluvial,7.23,103.8,43.6,143,0.48,17.5,30.4,35.6,24.8,512.9,69.3,8.9,1003.3,1385.6,1080.2,78,305.4,0.79,10.8,High,Moderate,82.6,10.79
Amritsar,2017,Kharif,Maize,29453.5,2540.6,Alluvial,7.23,102.4,44.2,144.8,0.49,17.9,30.7,35.8,23.9,543.2,70.9,8.7,1003.9,1385.6,1080.2,78,305.4,0.78,11.8,High,Moderate,84,11.02
Amritsar,2017,Kharif,Maize,27244.1,2649.8,Alluvial,7.23,103.1,45.4,145.9,0.48,18,30.8,36.3,24.4,498.4,71.5,8.7,1003.7,1385.6,1080.2,78,305.4,0.78,11.9,High,Moderate,82.9,10.88
Amritsar,2017,Kharif,Maize,27774.5,2547.8,Alluvial,7.23,102.7,45.6,139.1,0.5,17.7,30.9,36.1,24.3,517,70.8,8.7,1003.2,1385.6,1080.2,78,305.4,0.78,11.8,High,Moderate,81.8,10.86
Amritsar,2017,Kharif,Maize,28294.4,3294.6,Alluvial,7.23,106,44.6,146.2,0.49,18,30,37.2,24.3,518.8,71.1,8.7,1003.9,1385.6,1080.2,78,305.4,0.79,12.8,High,Moderate,82.5,10.89
Amritsar,2017,Kharif,Rice,64339.4,4549.5,Alluvial,7.23,103.3,44.5,142.3,0.48,17.9,30.7,36.5,24.2,523,70.5,8.8,1003.5,1385.6,1080.2,78,305.4,0.78,12.3,High,Moderate,82.8,10.92
Amritsar,2017,Kharif,Rice,64573.6,4241.1,Alluvial,7.23,103.4,44.2,138.1,0.48,18.2,30.5,36.9,24.7,509,70.7,8.5,1004.5,1385.6,1080.2,78,305.4,0.79,12.2,High,Moderate,82.8,10.91
Amritsar,2017,Kharif,Rice,63201.7,3945.7,Alluvial,7.23,102.2,44.6,143.6,0.48,18,31,36.7,24.9,509.4,70,8.7,1003.6,1385.6,1080.2,78,305.4,0.79,11.8,High,Moderate,83.5,10.95
Amritsar,2017,Kharif,Rice,67980.3,3813.4,Alluvial,7.23,102.5,44,146.1,0.48,18.2,30.9,35.9,23.8,505,70.4,8.8,1003.3,1385.6,1080.2,78,305.4,0.79,12.2,High,Moderate,82.6,10.94
Amritsar,2017,Kharif,Rice,66380.2,4892.8,Alluvial,7.23,105.1,44.8,141,0.49,17.6,30.9,36.5,24.4,498,67.2,8.8,1003.5,1385.6,1080.2,78,305.4,0.77,12.2,High,Moderate,82.4,10.97
Amritsar,2017,Kharif,Rice,59869.3,3804.4,Alluvial,7.23,103.3,45.1,139.3,0.48,17.8,31.2,36.4,24.2,534.7,69.4,8.6,1004.2,1385.6,1080.2,78,305.4,0.77,12.2,High,Moderate,83.9,10.97
Amritsar,2017,Kharif,Rice,65676.6,4580.9,Alluvial,7.23,106.6,44.8,140.3,0.48,17.8,30.9,36,23.8,527.7,70.1,8.7,1003.2,1385.6,1080.2,78,305.4,0.78,12.2,High,Moderate,83.2,10.9
Amritsar,2017,Kharif,Rice,62269.2,4502.2,Alluvial,7.23,101.4,44.4,143.4,0.48,18.1,30.7,36.7,23.8,510.9,70.4,8.6,1003.3,1385.6,1080.2,78,305.4,0.79,12.9,High,Moderate,82.1,10.78
Amritsar,2017,Kharif,Rice,63510.5,4864.3,Alluvial,7.23,102,45.3,145.3,0.49,17.7,30.9,35.5,24.5,535.7,71.5,8.6,1003.7,1385.6,1080.2,78,305.4,0.78,11,High,Moderate,81.6,11
Amritsar,2017,Kharif,Rice,67073.1,4845.2,Alluvial,7.23,104.2,44.6,141.3,0.48,17.1,31.2,36.2,24.5,523.2,70.3,8.8,1003.2,1385.6,1080.2,78,305.4,0.8,11.8,High,Moderate,82.9,10.88
